
Please build project in debug configuration to get more details about an exception.
See https://docs.platformio.org/page/projectconf/build_configurations.html


--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
I 00:07:24.724 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:07:25.733 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:07:26.752 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:07:27.766 |        main.cpp: 194 |  free heap size: 28792 biggest block : 26624 
I 00:07:28.775 |        main.cpp: 194 |  free heap size: 20860 biggest block : 18432 
I 00:07:29.793 |        main.cpp: 194 |  free heap size: 22856 biggest block : 22528 
I 00:07:30.814 |        main.cpp: 194 |  free heap size: 21288 biggest block : 20480 
I 00:07:31.831 |        main.cpp: 194 |  free heap size: 24740 biggest block : 23552 
I 00:07:32.843 |        main.cpp: 194 |  free heap size: 23132 biggest block : 20480 
I 00:07:33.858 |        main.cpp: 194 |  free heap size: 26784 biggest block : 23552 
I 00:07:34.871 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:07:35.883 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:07:36.907 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:07:37.922 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:07:38.935 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:07:39.949 |        main.cpp: 194 |  free heap size: 28776 biggest block : 25600 
I 00:07:40.958 |        main.cpp: 194 |  free heap size: 28588 biggest block : 26624 
I 00:07:41.977 |        main.cpp: 194 |  free heap size: 23116 biggest block : 20480 
I 00:07:42.987 |        main.cpp: 194 |  free heap size: 23100 biggest block : 21504 
I 00:07:44.008 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:07:45.029 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:07:46.045 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:07:47.061 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:07:48.072 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:07:49.085 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:07:50.099 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:07:51.108 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
